Threads,Contention,Time (ms)
28,0.125,1240.65
28,0.1875,1234.83
28,0.25,1250.19
28,0.3125,1256.79
28,0.375,1223.61
28,0.4375,1205.76
28,0.5,1210.45
28,0.5625,1224.33
28,0.625,1213.96
28,0.6875,1208.41
28,0.75,1198.04
28,0.8125,1268.41
28,0.875,1262.44
28,0.9375,1314.38
28,1,1876.38
29,0,1194.55
29,0.0625,1257.03
29,0.125,1252.1
29,0.1875,1240.74
29,0.25,1215.92
29,0.3125,1236.05
29,0.375,1193.87
29,0.4375,1214.92
29,0.5,1191.52
29,0.5625,1291.13
29,0.625,1326.42
29,0.6875,1902.78
29,0.75,1900.71
29,0.8125,1362.51
29,0.875,1231.77
29,0.9375,1288.57
29,1,2006.02
30,0,1168.89
30,0.0625,1207.97
30,0.125,1321.8
30,0.1875,1310.44
30,0.25,1246.87
30,0.3125,1212.53
30,0.375,1225.13
30,0.4375,1222.08
30,0.5,1200.81
30,0.5625,1191.38
30,0.625,1204.05
30,0.6875,1201.8
30,0.75,1177.47
30,0.8125,1240
30,0.875,1225.4
30,0.9375,1261.34
30,1,1882.14
31,0,1203.66
31,0.0625,1190.14
31,0.125,1225.98
31,0.1875,1242.41
31,0.25,1173.75
31,0.3125,1176.98
31,0.375,1191.53
31,0.4375,1176.72
31,0.5,1182.37
31,0.5625,1183.23
31,0.625,1280.21
31,0.6875,1208.78
31,0.75,1199.23
31,0.8125,1212.56
31,0.875,1189.44
31,0.9375,1258.01
31,1,1930.96
32,0,1206.13
32,0.0625,1205.18
32,0.125,1237.2
32,0.1875,1312.76
32,0.25,1211.85
32,0.3125,1245.34
32,0.375,1248.53
32,0.4375,1218.24
32,0.5,1176.46
32,0.5625,1212.56
32,0.625,1187.48
32,0.6875,1200.63
32,0.75,1170.88
32,0.8125,1221.88
32,0.875,1235.93
32,0.9375,1218.13
32,1,1985.91
