Starting single threaded tests...
Done!
Starting multi threaded tests...
Threads,Contention,Time (ms)
24,0.875,1410.16
24,0.9375,1500.29
24,1,2122.7
25,0,1327.9
25,0.0625,1355.46
25,0.125,1399.43
25,0.1875,1380.23
25,0.25,1408.1
25,0.3125,1451.15
25,0.375,1402.72
25,0.4375,1268.14
25,0.5,1254.46
25,0.5625,1472.6
25,0.625,1305.14
25,0.6875,1331.25
25,0.75,1396.51
25,0.8125,1225.79
25,0.875,1250.41
25,0.9375,1247.2
25,1,2151.46
26,0,1180.58
26,0.0625,1223.47
26,0.125,1257.75
26,0.1875,1252.39
26,0.25,1227.05
26,0.3125,1207.43
26,0.375,1255.16
26,0.4375,1208.53
26,0.5,1305.93
26,0.5625,1213.56
26,0.625,1263.54
26,0.6875,1213.88
26,0.75,1198.13
26,0.8125,1235.6
26,0.875,1220.6
26,0.9375,1262.67
26,1,1995.09
27,0,1207.22
27,0.0625,1263.75
27,0.125,1346.82
27,0.1875,1292.89
27,0.25,1269.45
27,0.3125,1282.8
27,0.375,1275.84
27,0.4375,1641.47
27,0.5,1834.17
27,0.5625,1561.76
27,0.625,1265.92
27,0.6875,1189.34
27,0.75,1212.01
27,0.8125,1230.47
27,0.875,1219.9
27,0.9375,1249.84
27,1,1891.72
28,0,1376.36
28,0.0625,1221.62
28,0.125,1223.74
28,0.1875,1249.53
28,0.25,1205.05
28,0.3125,1358.13
28,0.375,1221.55
28,0.4375,1234.86
28,0.5,1164.73
28,0.5625,1231.86
28,0.625,1237.25
28,0.6875,1180.63
28,0.75,1239.09
28,0.8125,1241.61
28,0.875,1360.48
28,0.9375,1272.48
28,1,2018.5
29,0,1281
29,0.0625,1232.43
29,0.125,1235.84
29,0.1875,1224.79
29,0.25,1217.25
29,0.3125,1222.2
29,0.375,1204.82
29,0.4375,1223.16
29,0.5,1194.8
29,0.5625,1243.85
29,0.625,1205.85
29,0.6875,1194.76
29,0.75,1203.06
29,0.8125,1200.08
29,0.875,1268.27
29,0.9375,1279.37
29,1,2056.89
30,0,1207.24
30,0.0625,1293.61
30,0.125,1328.34
30,0.1875,1338.06
30,0.25,1309.41
30,0.3125,1315.37
30,0.375,1305.56
30,0.4375,1215.61
30,0.5,1190.93
30,0.5625,1252.62
30,0.625,1231.71
30,0.6875,1201.89
30,0.75,1197.41
30,0.8125,1248.01
30,0.875,1218.93
30,0.9375,1251.93
30,1,2081.95
31,0,1188.81
31,0.0625,1181.27
31,0.125,1260.34
31,0.1875,1213.6
31,0.25,1245.38
31,0.3125,1225.97
31,0.375,1199.6
31,0.4375,1287.31
31,0.5,1289.91
31,0.5625,1282.73
31,0.625,1264.24
31,0.6875,1286.63
31,0.75,1429.84
31,0.8125,1352.2
31,0.875,1241.48
31,0.9375,1287.95
31,1,2100.09
32,0,1174.98
32,0.0625,1357.47
32,0.125,1288.92
32,0.1875,1303.54
32,0.25,1208.04
32,0.3125,1205.1
32,0.375,1176.56
32,0.4375,1192.64
32,0.5,1214.06
32,0.5625,1221.85
32,0.625,1196.94
32,0.6875,1229.67
32,0.75,1204.26
32,0.8125,1197.39
32,0.875,1400.86
32,0.9375,1251.57
32,1,2051.26
Done!
